epoch,step,train_loss,val_bcc,val_loss
0,61,,0.29583191871643066,1.7140283584594727
0,61,1.8024914264678955,,
1,123,,0.3389046788215637,1.616094946861267
1,123,1.6872878074645996,,
2,185,,0.3848664164543152,1.5327118635177612
2,185,1.5621800422668457,,
3,247,,0.417621910572052,1.4496322870254517
3,247,1.470018982887268,,
4,309,,0.43887487053871155,1.382369041442871
4,309,1.3691678047180176,,
5,371,,0.4865136444568634,1.3212618827819824
5,371,1.303922176361084,,
6,433,,0.514849066734314,1.271588921546936
6,433,1.223620057106018,,
7,495,,0.5170577168464661,1.209281325340271
7,495,1.2093030214309692,,
8,557,,0.542191743850708,1.1605364084243774
8,557,1.1355074644088745,,
9,619,,0.5194924473762512,1.1336264610290527
9,619,1.1053502559661865,,
10,681,,0.5560759902000427,1.1238586902618408
10,681,1.054860234260559,,
11,743,,0.5683810114860535,1.061165452003479
11,743,1.040329098701477,,
12,805,,0.5533245205879211,1.0446940660476685
12,805,1.0102087259292603,,
13,867,,0.567867636680603,1.031103253364563
13,867,1.010475993156433,,
14,929,,0.565982460975647,1.0303963422775269
14,929,0.9665630459785461,,
15,991,,0.5796478390693665,0.9937456846237183
15,991,0.960601806640625,,
16,1053,,0.5793967247009277,1.00550377368927
16,1053,0.8880395889282227,,
17,1115,,0.5792682766914368,0.9600861072540283
17,1115,0.9153380393981934,,
18,1177,,0.5602402687072754,0.980121910572052
18,1177,0.8888953924179077,,
19,1239,,0.584877610206604,0.9723634123802185
19,1239,0.8684659004211426,,
20,1301,,0.5515877604484558,0.9447169899940491
20,1301,0.8592711091041565,,
21,1363,,0.5954902172088623,0.9188666343688965
21,1363,0.8621638417243958,,
22,1425,,0.5891822576522827,0.8966624736785889
22,1425,0.7962376475334167,,
23,1487,,0.5928683876991272,0.9289236068725586
23,1487,0.7917047142982483,,
24,1549,,0.5979111194610596,0.8950051069259644
24,1549,0.7981486916542053,,
25,1611,,0.6130355596542358,0.9009186029434204
25,1611,0.7758636474609375,,
26,1673,,0.6041371822357178,0.8910054564476013
26,1673,0.764505922794342,,
27,1735,,0.6009794473648071,0.8877237439155579
27,1735,0.784974217414856,,
28,1797,,0.610849142074585,0.8795554041862488
28,1797,0.734137237071991,,
29,1859,,0.5953310132026672,0.8991956114768982
29,1859,0.7261354327201843,,
30,1921,,0.5930233597755432,0.8841084241867065
30,1921,0.722151517868042,,
31,1983,,0.6081874370574951,0.9267096519470215
31,1983,0.7036365270614624,,
32,2045,,0.5802792310714722,0.9457013010978699
32,2045,0.7233856320381165,,
33,2107,,0.6067277789115906,0.9230508804321289
33,2107,0.6974478960037231,,
34,2169,,0.5842282176017761,0.8843175172805786
34,2169,0.7109323143959045,,
35,2231,,0.6140303015708923,0.9045308828353882
35,2231,0.6916503310203552,,
36,2293,,0.6221522688865662,0.8833678960800171
36,2293,0.7061217427253723,,
37,2355,,0.5677460432052612,0.9745657444000244
37,2355,0.707832932472229,,
38,2417,,0.55684894323349,1.0247598886489868
38,2417,0.742270290851593,,
39,2479,,0.5764966607093811,1.048931360244751
39,2479,0.7128025889396667,,
40,2541,,0.548316240310669,1.0152952671051025
40,2541,0.7406196594238281,,
41,2603,,0.5650748014450073,0.9967289566993713
41,2603,0.6870763897895813,,
42,2665,,0.5593090653419495,0.9928164482116699
42,2665,0.6888468265533447,,
43,2727,,0.5582605600357056,0.9871222376823425
43,2727,0.7006596326828003,,
